Iterações,Erro_Relativo
0,inf
1,60.0
2,-42.857142857142854
3,17.647058823529413
4,8.108108108108109
5,3.896103896103896
6,-1.9867549668874174
7,0.9836065573770493
8,-0.4942339373970346
9,0.24650780608052586
10,0.12310217480508823
11,0.061513225343448844
12,0.030747155888080354
13,0.015371214838346057
14,0.007685016778953301
15,-0.003842656043857514
16,-0.0019213649376517079
17,0.0009606732398064564
18,-0.00048033892714699494
19,-0.00024017004038859514
20,-0.00012008516439859149
21,-6.0042618250434164e-05
